NLC,NAME,EASTING,NORTHING,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Zone,x,y,Night Tube?
629,Lancaster Gate,526711,180773,Central,London Underground,Yes,,,,1,-0.173843886,51.51117805,Yes
630,Latimer Road,523763,180898,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.216257476,51.51295039,No
631,Leicester Square,529980,180824,"Piccadilly, Northern",London Underground,Yes,,,,1,-0.126725567,51.51089472,Yes
632,Leyton,538367,186076,Central,London Underground,Yes,,,,3,-0.00386474,51.55609689,Yes
633,Leytonstone,539279,187405,Central,London Underground,Yes,,,,"3,4",0.009807678,51.56781496,Yes
634,Liverpool Street LU,533094,181567,"Central, Circle, Hammersmith & City, London Overground, Metropolitan",London Underground,Yes,,Yes,,1,-0.081601363,51.5168424,Yes
635,London Bridge LU,532683,180189,"Northern, Jubilee",London Underground,Yes,,,,1,-0.088037808,51.50455372,Yes
636,Loughton,542319,195612,Central,London Underground,Yes,,,,6,0.056970973,51.6408144,Yes
637,Maida Vale,525940,182762,Bakerloo,London Underground,Yes,,,,2,-0.184228557,51.52922219,No
638,Manor House,532048,187482,Piccadilly,London Underground,Yes,,,,"2,3",-0.094452148,51.57024769,Yes
639,Mansion House,532354,180932,"Circle, District",London Underground,Yes,,,,1,-0.092495313,51.51130597,No
640,Marble Arch,527960,181017,Central,London Underground,Yes,,,,1,-0.155755638,51.51309055,Yes
641,Marylebone LU,527459,181957,Bakerloo,London Underground,Yes,,,,1,-0.162637346,51.52165079,No
642,Mile End,536501,182534,"District, Hammersmith & City, Central",London Underground,Yes,,,,2,-0.032150165,51.52472507,Yes
643,Mill Hill East,524046,191450,Northern,London Underground,Yes,,,,4,-0.208460194,51.60773582,No
645,Moorgate,532668,181668,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,1,-0.087700241,51.5178533,No
646,Moor Park,508606,193503,Metropolitan,London Underground,Yes,,,,"6,7",-0.430710233,51.6293749,No
647,Morden,525670,168602,Northern,London Underground,Yes,,,,4,-0.193160282,51.40201673,Yes
648,Mornington Crescent,529192,183397,Northern,London Underground,Yes,,,,2,-0.137143461,51.53419787,Yes
649,Neasden,521342,185398,Jubilee,London Underground,Yes,,,,3,-0.24957656,51.5539234,Yes
650,Newbury Park,544920,188385,Central,London Underground,Yes,,,,4,0.091554903,51.57519974,Yes
653,North Acton,520828,181957,Central,London Underground,Yes,,,,"2,3",-0.258167978,51.52310534,Yes
654,North Ealing,518828,181228,Piccadilly,London Underground,Yes,,,,3,-0.287236576,51.51697561,No
655,Northfields,517197,179206,Piccadilly,London Underground,Yes,,,,3,-0.311409865,51.49914634,Yes
